epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,802.32,1.32264,1.83873,0.00773,0.31414,0.16234,0.17323,0.0986,1.69747,2.05118,0.01915,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931
95,810.637,1.33077,1.82584,0.00771,0.32237,0.1778,0.17234,0.09929,1.66839,2.05873,0.01913,0.0005694,0.0001898,0.0005694,0.0001898,0.0005694,0.0001898,0.0005694,0.0001898
96,819.161,1.30634,1.77407,0.00748,0.31409,0.16365,0.17189,0.09569,1.73,2.01913,0.01971,0.0005595,0.0001865,0.0005595,0.0001865,0.0005595,0.0001865,0.0005595,0.0001865
97,827.377,1.32977,1.81519,0.00772,0.30644,0.16201,0.17175,0.09681,1.6943,2.04529,0.01936,0.0005496,0.0001832,0.0005496,0.0001832,0.0005496,0.0001832,0.0005496,0.0001832
98,835.464,1.31543,1.78492,0.00763,0.38217,0.15051,0.17376,0.09727,1.68224,2.01522,0.01955,0.0005397,0.0001799,0.0005397,0.0001799,0.0005397,0.0001799,0.0005397,0.0001799
99,843.782,1.30478,1.77526,0.00756,0.37919,0.15767,0.17604,0.09821,1.71111,2.01349,0.01939,0.0005298,0.0001766,0.0005298,0.0001766,0.0005298,0.0001766,0.0005298,0.0001766
100,851.982,1.32136,1.78569,0.00764,0.39102,0.15681,0.17649,0.09872,1.73184,2.0133,0.0195,0.0005199,0.0001733,0.0005199,0.0001733,0.0005199,0.0001733,0.0005199,0.0001733
101,860.233,1.30733,1.74915,0.00766,0.44381,0.15414,0.17508,0.09815,1.71615,2.05671,0.01926,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017
102,868.685,1.30663,1.71355,0.0077,0.45651,0.1579,0.17722,0.09771,1.73854,2.0574,0.01959,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667
103,877.045,1.33506,1.77234,0.00775,0.44327,0.17764,0.17827,0.09936,1.69538,2.01905,0.01984,0.0004902,0.0001634,0.0004902,0.0001634,0.0004902,0.0001634,0.0004902,0.0001634
