epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,1461.36,1.50218,2.35077,0.00847,0.46328,0.32525,0.33941,0.19509,1.67344,2.13428,0.01662,0.00098025,0.00032675,0.00098025,0.00032675,0.00098025,0.00032675,0.00098025,0.00032675
72,1481.21,1.49864,2.36034,0.00851,0.45049,0.31722,0.34532,0.19988,1.67804,2.13144,0.0165,0.000972825,0.000324275,0.000972825,0.000324275,0.000972825,0.000324275,0.000972825,0.000324275
73,1501.31,1.49836,2.31929,0.00849,0.44454,0.31739,0.34696,0.20046,1.70021,2.14415,0.017,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218,0.0009654,0.0003218
74,1521.79,1.4929,2.20002,0.00828,0.42122,0.32133,0.34561,0.19922,1.7049,2.12113,0.01654,0.000957975,0.000319325,0.000957975,0.000319325,0.000957975,0.000319325,0.000957975,0.000319325
75,1541.8,1.47344,2.23083,0.0083,0.44297,0.33386,0.34762,0.19926,1.68542,2.11766,0.01627,0.00095055,0.00031685,0.00095055,0.00031685,0.00095055,0.00031685,0.00095055,0.00031685
76,1562.03,1.4733,2.19184,0.00817,0.46585,0.33149,0.35836,0.20757,1.69971,2.10734,0.0164,0.000943125,0.000314375,0.000943125,0.000314375,0.000943125,0.000314375,0.000943125,0.000314375
77,1582.31,1.48382,2.1638,0.00832,0.44483,0.34766,0.37015,0.20911,1.73067,2.05441,0.0166,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119,0.0009357,0.0003119
78,1602.23,1.48485,2.11737,0.00842,0.48027,0.32702,0.36175,0.20425,1.72004,2.07822,0.01715,0.000928275,0.000309425,0.000928275,0.000309425,0.000928275,0.000309425,0.000928275,0.000309425
79,1622.3,1.48614,2.12895,0.00821,0.48634,0.32261,0.35079,0.19732,1.72676,2.07159,0.01758,0.00092085,0.00030695,0.00092085,0.00030695,0.00092085,0.00030695,0.00092085,0.00030695
80,1642.26,1.48241,2.11181,0.00821,0.44524,0.33951,0.36156,0.20293,1.70425,2.12684,0.01719,0.000913425,0.000304475,0.000913425,0.000304475,0.000913425,0.000304475,0.000913425,0.000304475
81,1662.18,1.48158,2.05066,0.00826,0.44525,0.34036,0.34986,0.19737,1.74933,2.08847,0.0177,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302,0.000906,0.000302
82,1682.18,1.49948,2.07433,0.00851,0.46786,0.32772,0.35541,0.20324,1.74852,2.0682,0.01779,0.000898575,0.000299525,0.000898575,0.000299525,0.000898575,0.000299525,0.000898575,0.000299525
83,1702.04,1.48223,2.04249,0.00824,0.4773,0.34141,0.35329,0.20089,1.73326,2.11829,0.01721,0.00089115,0.00029705,0.00089115,0.00029705,0.00089115,0.00029705,0.00089115,0.00029705
